code,publication_date
74199,2019-01-29 00:00:00.000000000
74200,2019-01-29 00:00:00.000000000
74201,2019-01-29 00:00:00.000000000
74202,2019-01-29 00:00:00.000000000
74203,2019-01-29 00:00:00.000000000
74198,2019-01-29 00:00:00.000000000
74205,2019-01-29 00:00:00.000000000
74206,2019-01-29 00:00:00.000000000
74208,2019-01-29 00:00:00.000000000
74209,2019-01-29 00:00:00.000000000
74210,2019-01-29 00:00:00.000000000
74211,2019-01-29 00:00:00.000000000
74213,2019-01-29 00:00:00.000000000
74215,2019-01-29 00:00:00.000000000
74216,2019-01-29 00:00:00.000000000
74218,2019-01-29 00:00:00.000000000
74219,2019-01-29 00:00:00.000000000
74220,2019-01-29 00:00:00.000000000
74222,2019-01-29 00:00:00.000000000
74225,2019-01-29 00:00:00.000000000
74226,2019-01-29 00:00:00.000000000
74228,2019-01-29 00:00:00.000000000
74229,2019-01-29 00:00:00.000000000
74232,2019-01-29 00:00:00.000000000
74231,2019-01-29 00:00:00.000000000
74234,2019-01-29 00:00:00.000000000
74235,2019-01-29 00:00:00.000000000
74236,2019-01-29 00:00:00.000000000
74237,2019-01-29 00:00:00.000000000
74238,2019-01-29 00:00:00.000000000
74239,2019-01-29 00:00:00.000000000
74241,2019-01-29 00:00:00.000000000
74242,2019-01-29 00:00:00.000000000
74243,2019-01-29 00:00:00.000000000
74244,2019-01-29 00:00:00.000000000
74249,2019-01-29 00:00:00.000000000
74250,2019-01-29 00:00:00.000000000
74253,2019-01-29 00:00:00.000000000
74254,2019-01-29 00:00:00.000000000
74255,2019-01-29 00:00:00.000000000
74256,2019-01-29 00:00:00.000000000
74257,2019-01-29 00:00:00.000000000
74258,2019-01-29 00:00:00.000000000
74261,2019-01-29 00:00:00.000000000
74262,2019-01-29 00:00:00.000000000
74263,2019-01-29 00:00:00.000000000
74264,2019-01-29 00:00:00.000000000
74265,2019-01-29 00:00:00.000000000
74266,2019-01-29 00:00:00.000000000
74267,2019-01-29 00:00:00.000000000
74269,2019-01-29 00:00:00.000000000
74271,2019-01-29 00:00:00.000000000
74272,2019-01-29 00:00:00.000000000
74273,2019-01-29 00:00:00.000000000
74275,2019-01-29 00:00:00.000000000
74276,2019-01-29 00:00:00.000000000
74279,2019-01-29 00:00:00.000000000
74281,2019-01-29 00:00:00.000000000
74283,2019-01-29 00:00:00.000000000
74278,2019-01-29 00:00:00.000000000
74280,2019-01-29 00:00:00.000000000
74285,2019-01-29 00:00:00.000000000
74286,2019-01-29 00:00:00.000000000
74287,2019-01-29 00:00:00.000000000
74167,2019-01-29 00:00:00.000000000
74288,2019-01-29 00:00:00.000000000
74289,2019-01-29 00:00:00.000000000
74290,2019-01-29 00:00:00.000000000
74291,2019-01-29 00:00:00.000000000
74292,2019-01-29 00:00:00.000000000
74293,2019-01-29 00:00:00.000000000
74294,2019-01-29 00:00:00.000000000
74296,2019-01-29 00:00:00.000000000
74297,2019-01-29 00:00:00.000000000
74299,2019-01-29 00:00:00.000000000
74301,2019-01-29 00:00:00.000000000
74303,2019-01-29 00:00:00.000000000
74304,2019-01-29 00:00:00.000000000
74305,2019-01-29 00:00:00.000000000
74306,2019-01-29 00:00:00.000000000
74307,2019-01-29 00:00:00.000000000
74308,2019-01-29 00:00:00.000000000
74309,2019-01-29 00:00:00.000000000
74311,2019-01-29 00:00:00.000000000
74310,2019-01-29 00:00:00.000000000
74312,2019-01-29 00:00:00.000000000
74313,2019-01-29 00:00:00.000000000
74314,2019-01-29 00:00:00.000000000
74298,2019-01-29 00:00:00.000000000
74315,2019-01-29 00:00:00.000000000
74109,2019-01-29 00:00:00.000000000
74117,2019-01-29 00:00:00.000000000
74118,2019-01-29 00:00:00.000000000
74119,2019-01-29 00:00:00.000000000
63323,2019-02-04 00:00:00.000000000
24157,2019-02-07 00:00:00.000000000
42235,2019-02-14 00:00:00.000000000
42146,2019-02-18 00:00:00.000000000
24109,2019-02-20 00:00:00.000000000
29026,2019-03-01 00:00:00.000000000
31557,2019-03-15 00:00:00.000000000
31184,2019-03-22 00:00:00.000000000
64071,2019-03-25 00:00:00.000000000
64388,2019-03-25 00:00:00.000000000
25258,2019-04-02 00:00:00.000000000
31069,2019-04-03 00:00:00.000000000
64211,2019-04-09 00:00:00.000000000
43003,2019-04-23 00:00:00.000000000
43228,2019-04-25 00:00:00.000000000
64192,2019-04-29 00:00:00.000000000
64544,2019-04-29 00:00:00.000000000
25036,2019-04-30 00:00:00.000000000
24066,2019-05-01 00:00:00.000000000
13216,2019-05-09 00:00:00.000000000
24108,2019-05-16 00:00:00.000000000
42140,2019-05-21 00:00:00.000000000
13201,2019-06-12 00:00:00.000000000
24164,2019-06-17 00:00:00.000000000
13214,2019-06-18 00:00:00.000000000
24248,2019-06-24 00:00:00.000000000
28148,2019-06-26 00:00:00.000000000
29170,2019-06-26 00:00:00.000000000
78517,2019-06-26 00:00:00.000000000
24524,2019-07-02 00:00:00.000000000
84039,2019-07-17 00:00:00.000000000
44074,2019-07-17 00:00:00.000000000
